1	 969	 173	 06ff	 1	 14622520	 18370	 1	 2410.144043	 2	 15742233	 18369	 1	 2589.294189	 3	 16824764	 18428	 1	 2762.725830	
2	 969	 173	 06ff	 1	 14485608	 18198	 1	 2387.577637	 2	 15577689	 18177	 1	 2562.229980	 3	 16652207	 18239	 1	 2734.390869	
3	 969	 173	 06ff	 1	 13856768	 17408	 3	 2283.929688	 2	 14918656	 17408	 3	 2453.831787	 3	 15867940	 17380	 3	 2605.609619	
4	 969	 173	 06ff	 1	 13856768	 17408	 3	 2283.929688	 2	 14958078	 17454	 4	 2460.315918	 3	 15925459	 17443	 4	 2615.054443	
5	 969	 173	 06ff	 1	 15900100	 19975	 2	 2620.719971	 2	 17157997	 20021	 2	 2822.160156	 3	 18288303	 20031	 2	 3003.047607	
6	 969	 173	 06ff	 1	 19562496	 24576	 1	 3224.371094	 2	 21062489	 24577	 1	 3464.374023	 3	 22449757	 24589	 1	 3686.382812	
7	 969	 173	 06ff	 1	 23281408	 29248	 1	 3837.337646	 2	 25082676	 29268	 1	 4125.617188	 3	 26704337	 29249	 1	 4385.010254	
8	 969	 173	 06ff	 1	 27856816	 34996	 4	 4591.475098	 2	 29998428	 35004	 2	 4934.164062	 3	 31952261	 34997	 2	 5246.750000	
9	 969	 173	 06ff	 1	 32400384	 40704	 4	 5340.364746	 2	 34861046	 40678	 5	 5733.970703	 3	 37148144	 40688	 4	 6099.944824	
10	 969	 173	 06ff	 1	 34808284	 43729	 1	 5737.244629	 2	 37468897	 43721	 4	 6162.912109	 3	 39912708	 43716	 3	 6553.902832	
11	 969	 173	 06ff	 1	 36119296	 45376	 2	 5953.331055	 2	 38875234	 45362	 2	 6394.227539	 3	 41416419	 45363	 3	 6800.820801	
12	 969	 173	 06ff	 1	 36857188	 46303	 1	 6074.953613	 2	 39656818	 46274	 2	 6522.783203	 3	 42266422	 46294	 2	 6940.396484	
13	 969	 173	 06ff	 1	 37064148	 46563	 3	 6109.065430	 2	 39882209	 46537	 3	 6559.855469	 3	 42511106	 46562	 3	 6980.575195	
14	 969	 173	 06ff	 1	 36618388	 46003	 2	 6035.593750	 2	 39416858	 45994	 3	 6483.314453	 3	 41994348	 45996	 5	 6895.720215	
15	 969	 173	 06ff	 1	 35403692	 44477	 4	 5835.382324	 2	 38118503	 44479	 3	 6269.759766	 3	 40609327	 44479	 6	 6668.291504	
16	 969	 173	 06ff	 1	 32781668	 41183	 5	 5403.209473	 2	 35286118	 41174	 5	 5803.887207	 3	 37593688	 41176	 3	 6173.105957	
17	 969	 173	 06ff	 1	 30199444	 37939	 4	 4977.596680	 2	 32481157	 37901	 4	 5342.524902	 3	 34620960	 37920	 7	 5684.966309	
